,x,y,z,Vx,Vy,Vz,cloneOf
18756,-3431541690.4366565,580398181.0886362,283714801.96211463,80549.38527581339,-530182.5788972661,-41608.35492603681,1049
18757,-3470491261.4976234,278790976.13308823,266083645.0510646,126474.10386906039,-520921.27856860514,-44253.228346483476,1049
18758,-3483028298.5186753,-24937996.48942721,246427430.93547824,171436.27816471193,-507695.45276916923,-46561.30797838354,1049
18759,-3428669539.6538134,577670318.3689831,321491371.25878495,80128.16837649352,-529782.5226455517,-47148.499085994226,1049
18760,-3467797597.4936657,276232633.5629281,301512629.3214179,126026.11192940937,-520495.79237262305,-50145.5368748751,1049
18761,-3480533621.703153,-27307348.378365755,279239194.2166116,170964.92067389554,-507247.7748357865,-52760.936849435144,1049
18762,-3425439094.787456,574602161.1637731,359212854.66403216,79654.40565548351,-529332.5603133773,-52680.564593354386,1049
18763,-3464767905.2138405,273355143.7488402,336889950.9549282,125522.23404449476,-520017.22777019115,-56029.253223673135,1049
18764,-3477727739.797487,-29972271.36637056,312003111.2993432,170434.76244003035,-506744.2501286866,-58951.52540557164,1049
18765,-2791362608.714587,1364197308.2972548,-952017258.0939211,-297210.88863655564,-373172.8729646941,338336.6846221075,1050
18766,-2924860048.0499783,1178400695.404735,-784628491.3223355,-252270.84125086595,-393126.14785145596,351959.19100371544,1050
18767,-3036097536.3409257,983635741.6823918,-611268227.9601507,-205410.8604379586,-410087.49537700997,362903.0754230151,1050
18768,-2792446025.4543405,1351686806.4406054,-966573505.3386796,-296825.85399072774,-368726.77528615826,343509.8181881856,1050
18769,-2925752972.6632233,1168089856.904684,-796625381.3134234,-251870.30389085333,-388501.0362002947,357340.61130965897,1050
18770,-3036793173.1321926,975603038.2457784,-620614457.1208153,-204997.86869492193,-405318.56964560744,368451.82661090535,1050
18771,-2793545788.3226204,1338987551.4811332,-980964135.1892323,-296435.01010679523,-364213.5967868934,348624.0931153105,1050
18772,-2926659369.34124,1157623452.882011,-808485773.6464616,-251463.72339441295,-383806.1428421275,362660.803141449,1050
18773,-3037499305.393929,967449140.8143047,-629854347.1891842,-204578.64590905161,-400477.69240184774,373937.445475101,1050
18774,-2794661708.88072,1326101719.3708,-995186681.8852376,-296038.42395384546,-359634.11077680136,353678.63309880183,1050
18775,-2927579082.7776227,1147003276.7011647,-820207636.1042819,-251051.16942701986,-379042.2722227619,367918.85491160373,1050
18776,-3038215812.1340065,959175446.5163192,-638986314.9576613,-204153.26391201396,-395565.6931051257,379358.9920830498,1050
18777,-2795793595.921398,1313031518.0306005,-1009238708.4665369,-295636.1634848741,-354989.1019272346,358672.5720692543,1050
18778,-2928511955.3842106,1136231148.0746603,-831788960.206096,-250632.71267767253,-374210.2406069039,373113.8656800208,1050
18779,-3038942570.582683,950783373.0067464,-648008795.710581,-203721.79559082421,-390583.41340123356,384715.53748065047,1050
18780,-2552931933.2617216,1247671248.711582,-870698508.1825123,-320770.2612161521,-403152.8352001178,365494.623228118,1050
18781,-2675026380.906749,1077744882.0459461,-717607639.0040131,-272222.3447389598,-424687.90162825666,380193.72674288944,1050
18782,-2776762262.5679846,899616226.0677891,-559055342.3893541,-221602.65184595823,-442990.8366914383,391999.3264298987,1050
18783,-2553922807.4617667,1236229360.226274,-884011399.9951277,-320354.3202342754,-398349.8538217701,371082.9989189015,1050
18784,-2675843034.304638,1068314767.5981473,-728579786.9658931,-271789.67585149966,-419691.7586656528,386006.8502344278,1050
18785,-2777398479.9382515,892269654.5225054,-567603241.8293449,-221156.54792440071,-437839.55580927734,397992.95634236134,1050
18786,-2554928631.5480685,1224614841.419777,-897172821.005257,-319932.10371271055,-393474.4071140255,376607.79144816066,1050
18787,-2676672009.0198135,1058742375.6156507,-739427096.5320157,-271350.4790408643,-414620.2360342601,391753.83343934704,1050
18788,-2778044296.2841697,884812241.0469642,-576053885.3758775,-220703.71337761803,-432610.5546037303,403918.3922106281,1050
18789,-2555949233.177847,1212829682.380096,-910180516.0711653,-319503.6839960849,-388527.3304595785,382068.05417113734,1050
18790,-2677513163.011725,1049029346.2785437,-750147709.0717285,-270904.82956116623,-409474.202713373,397433.6916416609,1050
18791,-2778699600.948433,877245263.4305738,-584405825.0546848,-220244.22579647868,-427304.7290372351,409774.6187417671,1050
18792,-2556984437.4762673,1200875902.4335628,-923032256.3912671,-319069.1344919114,-383509.4715145461,387462.85149992356,1050
18793,-2678366352.1529665,1039177343.8644001,-760739787.6632627,-270452.80377214967,-404254.5404493092,403045.45162690606,1050
18794,-2779364281.64796,869570018.2359934,-592657629.8038982,-219778.1639118141,-421922.9882356877,415560.6325015102,1050
18795,-2314500063.510323,1131144605.4472284,-789379350.9457312,-347062.88178275764,-436579.63771750976,395776.75622817385,1050
18796,-2425191462.347435,977088564.5024923,-650586450.978444,-294492.09895423066,-459879.9974332633,411677.6121745184,1050
18797,-2517425689.785441,815596289.5996867,-506842195.2843715,-239680.053433471,-479680.392685415,424445.3529144763,1050
18798,-2315398394.707115,1120771335.6859431,-801448881.0982397,-346612.47906236857,-431378.71745948354,401828.14265883615,1050
18799,-2425931844.147927,968539178.5184898,-660533851.7781867,-294023.600707356,-454470.12330791185,417972.1210786343,1050
18800,-2518002487.4370756,808935853.3825654,-514591761.0048573,-239197.02521465629,-474102.7371014037,430935.07927855704,1050
18801,-2316310279.5408993,1110241558.465861,-813381087.1108422,-346155.28085831564,-426099.32794039295,407810.67790587066,1050
18802,-2426683396.512455,959860803.0542729,-670368073.5028646,-293548.03395925096,-448978.6273148895,424195.01261152956,1050
18803,-2518587987.565054,802174927.3516426,-522253154.0762204,-238706.7092726073,-468440.92823481245,437350.9671352631,1050
18804,-2317235561.764904,1099557078.0101013,-825173924.4614655,-345691.36550915753,-420742.37375645374,413723.3368926612,1050
18805,-2427445990.6663904,951054925.1048013,-680087431.1092122,-293065.4801958298,-443406.4503937644,430345.2205127759,1050
18806,-2519182089.8469415,795314669.9567889,-529825061.7581993,-238209.1896204367,-462695.9362074436,443691.91715523956,1050
18807,-2318174082.8367834,1088719725.0493855,-836825372.5081394,-345220.812504401,-415308.7727941875,419565.10651552875,1050
18808,-2428219495.9431515,942123053.5119281,-689690259.2353387,-292576.02210019564,-437754.54730836616,436421.6909759105,1050
18809,-2519784692.4863725,788356256.6677916,-537306186.6433927,-237704.5515055755,-456868.74539410556,449956.84284934367,1050
18810,-2076067198.953273,1014617476.0005397,-708059854.4222711,-376888.75593506254,-474467.0054937055,430101.6347963863,1050
18811,-2175355501.405704,876431826.9922209,-583564983.3213949,-319758.08825466176,-499769.8717215553,447365.9913561952,1050
18812,-2258088034.9768724,731576002.5764856,-454628830.331272,-260193.86844743058,-521269.1874563047,461225.62259481236,1050
18813,-2076872986.7606962,1005312829.4218589,-718886017.7270141,-376399.2907421031,-468815.0204536011,436677.8451363185,1050
18814,-2176019611.2905707,868763173.1466647,-592487632.6834631,-319248.9758412986,-493891.014990881,454206.171955563,1050
18815,-2258605412.661959,725601704.5502783,-461580059.00137717,-259668.98346653982,-515208.20068453194,468277.7155490406,1050
18816,-2077690931.950022,995867798.3140424,-729589003.6134547,-375902.44070759584,-463077.7606798647,443179.23297551007,1050
