"spkid","a","e","i","om","w","ma"
3602536,18.94,0.4471,16.97,10.18,154.56,65.42
3602517,18.46,0.5551,18.90,168.52,340.74,66.57
3602634,20.32,0.1687,12.31,267.40,221.66,94.74
3607657,20.56,0.5050,7.51,208.69,86.35,59.15
54180959,5.611,0.7561,15.99,212.14,56.11,253.84
54180938,11.14,0.8641,5.30,315.57,334.51,89.09
54180968,9.581,0.8605,5.06,328.48,123.03,102.33
3614978,10.03,0.6591,15.98,26.18,21.25,134.34
3616305,9.917,0.3362,10.57,340.74,342.04,181.51
54181000,10.57,0.8298,8.46,53.19,300.76,94.98
54458231,5.733,0.3507,16.64,157.54,301.05,284.16
3621774,6.314,0.4776,107.01,260.70,145.64,277.80
3623459,9.286,0.5855,136.17,135.43,34.82,142.77
54457782,5.794,0.4691,20.13,96.80,304.58,1.79
3624732,15.94,0.6421,14.59,106.52,325.92,77.33
3640560,25.9,0.7354,12.71,233.85,205.70,4.51
3639765,5.921,0.4588,12.61,166.52,59.91,308.53
3639634,5.774,0.2677,23.49,159.60,273.43,25.84
3640127,6.415,0.3720,12.14,212.51,212.37,23.41
3624841,5.574,0.6178,5.98,69.52,83.24,319.65
54181074,9.729,0.6939,5.83,199.90,205.97,116.53
3626912,7.345,0.5971,8.85,319.11,188.65,211.40
3627001,10.28,0.4940,10.33,338.41,141.31,134.63
3627113,7.863,0.2587,17.70,148.35,61.64,161.61
3756022,21.75,0.1586,5.17,265.56,132.00,139.59
3631846,19.44,0.5446,14.63,328.84,212.82,44.02
3634610,13.55,0.6587,8.30,8.78,236.65,72.45
3637659,11.96,0.8649,72.91,226.88,295.74,102.65
3638289,11.25,0.3538,10.44,245.87,273.61,142.73
3726715,22.09,0.3760,32.03,71.62,170.33,37.64
3753603,30.06,0.1221,6.67,84.42,272.74,290.78
3639499,5.703,0.4728,175.10,243.97,325.25,314.43
3644019,17.02,0.7892,15.37,66.79,202.27,57.16
54049919,22.69,0.3311,14.00,158.68,111.68,61.08
3645000,12.6,0.7846,130.50,250.52,167.52,81.15
3978247,5.555,0.4191,16.81,48.81,298.83,319.82
3646529,5.971,0.5526,29.99,183.22,176.67,269.57
3645895,12.16,0.6740,21.45,316.84,312.68,105.34
3647670,14.15,0.4237,16.61,182.02,188.04,68.02
54181155,19.84,0.9204,5.18,66.67,251.54,32.64
3709965,23.34,0.1719,46.01,145.84,348.87,322.70
3766650,6.911,0.2597,17.11,149.84,223.63,8.66
54021841,6.765,0.2241,25.03,9.83,19.37,233.43
3653348,23.11,0.4174,29.26,327.24,69.56,23.95
54461881,6.327,0.3272,17.61,126.02,203.03,32.95
3787132,19.45,0.1314,32.44,194.09,207.05,26.43
3787148,26,0.2456,8.50,27.94,250.19,100.11
54188083,9.169,0.0967,12.06,215.13,246.06,76.10
3654042,7.895,0.6289,62.69,99.56,353.29,174.83
3655557,9.253,0.5221,77.73,33.14,34.39,128.58
3655560,8.157,0.7526,61.51,123.13,21.97,164.27
3662333,7.427,0.5030,16.01,290.47,234.58,184.07
3792761,5.687,0.2485,5.47,291.74,213.58,14.47
54443187,5.581,0.2102,1.58,278.31,324.75,225.32
3794232,5.752,0.1868,6.82,231.76,309.13,353.82
54392454,5.688,0.1482,6.79,292.63,170.47,48.33
3792594,5.539,0.1251,6.47,301.05,193.48,24.59
3792697,5.703,0.1317,17.90,190.39,304.63,16.95
